iter	Passed	Remaining
0	143	143458
1	146	72857
2	148	49260
3	150	37464
4	152	30375
5	153	25442
6	155	22048
7	157	19561
8	159	17540
9	161	15951
10	162	14623
11	164	13519
12	165	12600
13	167	11793
14	168	11088
15	170	10458
16	171	9907
17	172	9419
18	173	8978
19	175	8585
20	176	8231
21	177	7904
22	178	7596
23	179	7312
24	180	7057
25	182	6820
26	183	6595
27	184	6395
28	185	6197
29	185	6011
30	186	5838
31	187	5678
32	188	5527
33	189	5386
34	190	5251
35	191	5123
36	192	4999
37	192	4885
38	193	4777
39	194	4674
40	195	4576
41	196	4489
42	197	4397
43	198	4311
44	199	4229
45	200	4149
46	200	4073
47	201	3999
48	202	3933
49	203	3866
50	204	3801
51	204	3737
52	205	3674
53	206	3614
54	207	3556
55	207	3502
56	208	3448
57	209	3396
58	209	3345
59	210	3295
60	210	3246
61	211	3199
62	212	3154
63	212	3110
64	213	3068
65	213	3026
66	214	2986
67	215	2952
68	216	2914
69	216	2877
70	217	2842
71	217	2807
72	218	2772
73	218	2739
74	219	2706
75	219	2674
76	220	2642
77	220	2612
78	221	2584
79	222	2558
80	223	2530
81	223	2503
82	223	2474
83	224	2448
84	225	2423
85	225	2400
86	226	2375
87	227	2353
88	227	2330
89	228	2310
90	229	2289
91	229	2267
92	230	2247
93	231	2228
94	231	2209
95	232	2190
96	233	2171
97	234	2153
98	234	2135
99	235	2117
100	235	2099
101	236	2081
102	237	2065
103	238	2050
104	238	2035
105	239	2018
106	240	2003
107	240	1988
108	241	1972
109	241	1957
110	242	1943
111	243	1929
112	243	1914
113	244	1900
114	245	1887
115	245	1873
116	246	1859
117	247	1847
118	247	1834
119	248	1821
120	249	1809
121	249	1796
122	250	1784
123	250	1772
124	251	1760
125	252	1751
126	252	1738
127	253	1727
128	254	1716
129	254	1706
130	255	1695
131	256	1684
132	256	1673
133	257	1662
134	257	1652
135	258	1642
136	259	1631
137	259	1622
138	260	1612
139	260	1603
140	261	1593
141	262	1583
142	262	1573
143	263	1564
144	263	1555
145	264	1546
146	265	1537
147	265	1529
148	266	1522
149	267	1514
150	267	1505
151	268	1497
152	268	1488
153	269	1480
154	270	1473
155	270	1465
156	271	1458
157	272	1450
158	272	1443
159	273	1435
160	273	1427
161	274	1419
162	275	1412
163	275	1405
164	276	1398
165	276	1391
166	277	1384
167	278	1378
168	279	1372
169	279	1365
170	280	1358
171	280	1352
172	281	1346
173	282	1339
174	282	1332
175	283	1326
176	283	1320
177	284	1314
178	285	1308
179	285	1302
180	286	1296
181	287	1291
182	287	1285
183	288	1280
184	289	1274
185	290	1269
186	290	1263
187	291	1258
188	292	1253
189	292	1248
190	293	1242
191	294	1237
192	294	1232
193	295	1227
194	295	1221
195	296	1216
196	297	1211
197	297	1206
198	298	1201
